EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-11-07 19:21:00,2022-11-07 21:58:00,28.2,42.3,18.8,P,2022-11-07
2022-11-07 21:58:01,2022-11-07 23:59:59,0.0,0.0,0.0,N,2022-11-07
2022-11-08 00:00:00,2022-11-08 18:03:59,0.0,0.0,0.0,N,2022-11-08
2022-11-08 18:04:00,2022-11-08 18:31:00,3.3,4.95,2.2,P,2022-11-08
2022-11-08 18:31:01,2022-11-08 20:27:59,0.0,0.0,0.0,N,2022-11-08
2022-11-08 20:28:00,2022-11-08 23:59:59,174.4,261.6,116.26,P,2022-11-08
2022-11-09 00:00:00,2022-11-09 00:06:00,174.4,261.6,116.26,P,2022-11-09
2022-11-09 00:06:01,2022-11-09 23:59:59,0.0,0.0,0.0,N,2022-11-09
2022-11-10 00:00:00,2022-11-10 17:35:59,0.0,0.0,0.0,N,2022-11-10
2022-11-10 17:36:00,2022-11-10 21:35:00,93.5,140.25,62.33,P,2022-11-10
2022-11-10 21:35:01,2022-11-10 23:59:59,0.0,0.0,0.0,N,2022-11-10
2022-11-11 00:00:00,2022-11-11 17:19:59,0.0,0.0,0.0,N,2022-11-11
2022-11-11 17:20:00,2022-11-11 23:04:00,99.1,148.65,66.0,P,2022-11-11
2022-11-11 23:04:01,2022-11-11 23:59:59,0.0,0.0,0.0,N,2022-11-11
2022-11-12 00:00:00,2022-11-12 23:59:59,0.0,0.0,0.0,N,2022-11-12
2022-11-13 00:00:00,2022-11-13 23:59:59,0.0,0.0,0.0,N,2022-11-13
2022-11-14 00:00:00,2022-11-14 17:19:59,0.0,0.0,0.0,N,2022-11-14
2022-11-14 17:20:00,2022-11-14 22:41:00,33.4,50.1,22.2,P,2022-11-14
2022-11-14 22:41:01,2022-11-14 23:59:59,0.0,0.0,0.0,N,2022-11-14
2022-11-15 00:00:00,2022-11-15 16:17:59,0.0,0.0,0.0,N,2022-11-15
2022-11-15 16:18:00,2022-11-15 22:09:00,0.9,1.35,0.6,P,2022-11-15
2022-11-15 22:09:01,2022-11-15 23:59:59,0.0,0.0,0.0,N,2022-11-15
2022-11-16 00:00:00,2022-11-16 16:23:59,0.0,0.0,0.0,N,2022-11-16
2022-11-16 16:24:00,2022-11-16 19:22:00,14.0,56.0,3.5,P,2022-11-16
2022-11-16 19:22:01,2022-11-16 23:59:59,0.0,0.0,0.0,N,2022-11-16
2022-11-17 00:00:00,2022-11-17 23:59:59,0.0,0.0,0.0,N,2022-11-17
2022-11-18 00:00:00,2022-11-18 14:17:59,0.0,0.0,0.0,N,2022-11-18
2022-11-18 14:18:00,2022-11-18 18:30:00,3.6,5.4,2.4,P,2022-11-18
2022-11-18 18:30:01,2022-11-18 23:59:59,0.0,0.0,0.0,N,2022-11-18
2022-11-19 00:00:00,2022-11-19 23:59:59,0.0,0.0,0.0,N,2022-11-19
2022-11-20 00:00:00,2022-11-20 23:59:59,0.0,0.0,0.0,N,2022-11-20
2022-11-21 00:00:00,2022-11-21 14:27:59,0.0,0.0,0.0,N,2022-11-21
2022-11-21 14:28:00,2022-11-21 21:46:00,0.5,0.75,0.33,P,2022-11-21
2022-11-21 21:46:01,2022-11-21 23:59:59,0.0,0.0,0.0,N,2022-11-21
2022-11-22 00:00:00,2022-11-22 16:44:59,0.0,0.0,0.0,N,2022-11-22
2022-11-22 16:45:00,2022-11-22 21:14:00,7.3,10.95,4.86,P,2022-11-22
2022-11-22 21:14:01,2022-11-22 23:59:59,0.0,0.0,0.0,N,2022-11-22
2022-11-23 00:00:00,2022-11-23 16:25:59,0.0,0.0,0.0,N,2022-11-23
2022-11-23 16:26:00,2022-11-23 22:00:00,,,,P,2022-11-23
2022-11-23 22:00:01,2022-11-23 23:59:59,0.0,0.0,0.0,N,2022-11-23
