Sensor,TP(%),FP(%),FN(%),TN(%),sample_size,FPR(%),TPR(%),TNR(%),FNR(%),Accuracy(%),Precision(%)
Andium,191798(6.13),4379(0.14),141025(4.51),2791778(89.22),3128980,0.16,57.63,99.84,42.37,95.35,97.77
Canary,139394(10.29),19236(1.42),5487(0.41),1190630(87.89),1354747,1.59,96.21,98.41,3.79,98.18,87.87
Ecoteco,25948(0.98),22202(0.84),241302(9.14),2349707(89.03),2639159,0.94,9.71,99.06,90.29,90.02,53.89
Kuva,267398(29.25),9048(0.99),57178(6.25),580518(63.50),914142,1.53,82.38,98.47,17.62,92.76,96.73
Oiler,72248(6.68),2404(0.22),57696(5.33),949495(87.77),1081843,0.25,55.60,99.75,44.40,94.44,96.78
Qube,188323(5.98),20255(0.64),169929(5.40),2768740(87.97),3147247,0.73,52.57,99.27,47.43,93.96,90.29
Sensirion,333671(8.92),92137(2.46),38007(1.02),3275171(87.60),3738986,2.74,89.77,97.26,10.23,96.52,78.36
Soofie,182773(7.23),201239(7.96),29244(1.16),2115234(83.66),2528490,8.69,86.21,91.31,13.79,90.88,47.60
