datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:00,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:01,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:02,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:03,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:04,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:05,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:06,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:07,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:08,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:09,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:10,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:11,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:12,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:13,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:14,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:15,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:16,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:17,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:18,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:19,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:20,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:21,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:22,
,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3,2022-11-30 17:50:23,
