datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:50,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:51,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:52,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:53,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:54,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:55,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:56,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:57,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:58,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:34:59,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:00,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:01,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:02,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:03,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:04,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:05,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:06,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:07,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:08,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:09,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:10,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:11,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:12,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:13,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:14,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:15,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:16,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:17,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:18,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:19,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:20,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:21,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:22,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:23,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:24,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:25,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:26,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:27,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:28,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:29,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:30,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:31,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:32,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:33,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:34,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:35,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:36,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:37,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:38,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:39,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:40,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:41,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:42,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:43,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:44,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:45,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:46,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:47,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:48,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:49,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:50,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:51,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:52,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:53,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:54,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:55,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:56,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:57,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:58,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:35:59,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:00,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:01,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:02,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:03,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:04,
,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1,2022-11-07 16:36:05,
