datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,,,,,,,,1,2022-11-29 16:44:00,
,,,,,,,,1,2022-11-29 16:44:01,
,,,,,,,,1,2022-11-29 16:44:02,
,,,,,,,,1,2022-11-29 16:44:03,
,,,,,,,,1,2022-11-29 16:44:04,
,,,,,,,,1,2022-11-29 16:44:05,
,,,,,,,,1,2022-11-29 16:44:06,
,,,,,,,,1,2022-11-29 16:44:07,
,,,,,,,,1,2022-11-29 16:44:08,
,,,,,,,,1,2022-11-29 16:44:09,
,,,,,,,,1,2022-11-29 16:44:10,
,,,,,,,,1,2022-11-29 16:44:11,
,,,,,,,,1,2022-11-29 16:44:12,
,,,,,,,,1,2022-11-29 16:44:13,
,,,,,,,,1,2022-11-29 16:44:14,
,,,,,,,,1,2022-11-29 16:44:15,
,,,,,,,,1,2022-11-29 16:44:16,
,,,,,,,,1,2022-11-29 16:44:17,
,,,,,,,,1,2022-11-29 16:44:18,
,,,,,,,,1,2022-11-29 16:44:19,
,,,,,,,,1,2022-11-29 16:44:20,
,,,,,,,,1,2022-11-29 16:44:21,
,,,,,,,,1,2022-11-29 16:44:22,
,,,,,,,,1,2022-11-29 16:44:23,
,,,,,,,,1,2022-11-29 16:44:24,
,,,,,,,,1,2022-11-29 16:44:25,
,,,,,,,,1,2022-11-29 16:44:26,
,,,,,,,,1,2022-11-29 16:44:27,
,,,,,,,,1,2022-11-29 16:44:28,
,,,,,,,,1,2022-11-29 16:44:29,
,,,,,,,,1,2022-11-29 16:44:30,
,,,,,,,,1,2022-11-29 16:44:31,
,,,,,,,,1,2022-11-29 16:44:32,
,,,,,,,,1,2022-11-29 16:44:33,
,,,,,,,,1,2022-11-29 16:44:34,
,,,,,,,,1,2022-11-29 16:44:35,
,,,,,,,,1,2022-11-29 16:44:36,
,,,,,,,,1,2022-11-29 16:44:37,
,,,,,,,,1,2022-11-29 16:44:38,
,,,,,,,,1,2022-11-29 16:44:39,
,,,,,,,,1,2022-11-29 16:44:40,
,,,,,,,,1,2022-11-29 16:44:41,
,,,,,,,,1,2022-11-29 16:44:42,
,,,,,,,,1,2022-11-29 16:44:43,
,,,,,,,,1,2022-11-29 16:44:44,
,,,,,,,,1,2022-11-29 16:44:45,
,,,,,,,,1,2022-11-29 16:44:46,
,,,,,,,,1,2022-11-29 16:44:47,
,,,,,,,,1,2022-11-29 16:44:48,
,,,,,,,,1,2022-11-29 16:44:49,
,,,,,,,,1,2022-11-29 16:44:50,
,,,,,,,,1,2022-11-29 16:44:51,
