datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:46:57,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:46:58,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:46:59,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:00,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:01,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:02,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:03,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:04,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:05,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:06,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:07,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:08,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:09,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:10,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:11,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:12,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:13,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:14,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:15,
,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,2022-10-28 15:47:16,
