datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,,,,,,,,1,2022-10-17 17:09:00,
,,,,,,,,1,2022-10-17 17:09:01,
,,,,,,,,1,2022-10-17 17:09:02,
,,,,,,,,1,2022-10-17 17:09:03,
,,,,,,,,1,2022-10-17 17:09:04,
,,,,,,,,1,2022-10-17 17:09:05,
,,,,,,,,1,2022-10-17 17:09:06,
,,,,,,,,1,2022-10-17 17:09:07,
,,,,,,,,1,2022-10-17 17:09:08,
,,,,,,,,1,2022-10-17 17:09:09,
,,,,,,,,1,2022-10-17 17:09:10,
,,,,,,,,1,2022-10-17 17:09:11,
,,,,,,,,1,2022-10-17 17:09:12,
,,,,,,,,1,2022-10-17 17:09:13,
,,,,,,,,1,2022-10-17 17:09:14,
,,,,,,,,1,2022-10-17 17:09:15,
,,,,,,,,1,2022-10-17 17:09:16,
,,,,,,,,1,2022-10-17 17:09:17,
,,,,,,,,1,2022-10-17 17:09:18,
,,,,,,,,1,2022-10-17 17:09:19,
,,,,,,,,1,2022-10-17 17:09:20,
,,,,,,,,1,2022-10-17 17:09:21,
,,,,,,,,1,2022-10-17 17:09:22,
,,,,,,,,1,2022-10-17 17:09:23,
,,,,,,,,1,2022-10-17 17:09:24,
,,,,,,,,1,2022-10-17 17:09:25,
,,,,,,,,1,2022-10-17 17:09:26,
,,,,,,,,1,2022-10-17 17:09:27,
,,,,,,,,1,2022-10-17 17:09:28,
,,,,,,,,1,2022-10-17 17:09:29,
,,,,,,,,1,2022-10-17 17:09:30,
,,,,,,,,1,2022-10-17 17:09:31,
,,,,,,,,1,2022-10-17 17:09:32,
,,,,,,,,1,2022-10-17 17:09:33,
,,,,,,,,1,2022-10-17 17:09:34,
,,,,,,,,1,2022-10-17 17:09:35,
,,,,,,,,1,2022-10-17 17:09:36,
,,,,,,,,1,2022-10-17 17:09:37,
