datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,,,,,,,,1,2022-11-28 15:45:00,
,,,,,,,,1,2022-11-28 15:45:01,
,,,,,,,,1,2022-11-28 15:45:02,
,,,,,,,,1,2022-11-28 15:45:03,
,,,,,,,,1,2022-11-28 15:45:04,
,,,,,,,,1,2022-11-28 15:45:05,
,,,,,,,,1,2022-11-28 15:45:06,
,,,,,,,,1,2022-11-28 15:45:07,
,,,,,,,,1,2022-11-28 15:45:08,
,,,,,,,,1,2022-11-28 15:45:09,
,,,,,,,,1,2022-11-28 15:45:10,
,,,,,,,,1,2022-11-28 15:45:11,
,,,,,,,,1,2022-11-28 15:45:12,
,,,,,,,,1,2022-11-28 15:45:13,
,,,,,,,,1,2022-11-28 15:45:14,
,,,,,,,,1,2022-11-28 15:45:15,
,,,,,,,,1,2022-11-28 15:45:16,
,,,,,,,,1,2022-11-28 15:45:17,
,,,,,,,,1,2022-11-28 15:45:18,
,,,,,,,,1,2022-11-28 15:45:19,
,,,,,,,,1,2022-11-28 15:45:20,
,,,,,,,,1,2022-11-28 15:45:21,
,,,,,,,,1,2022-11-28 15:45:22,
,,,,,,,,1,2022-11-28 15:45:23,
,,,,,,,,1,2022-11-28 15:45:24,
,,,,,,,,1,2022-11-28 15:45:25,
,,,,,,,,1,2022-11-28 15:45:26,
,,,,,,,,1,2022-11-28 15:45:27,
,,,,,,,,1,2022-11-28 15:45:28,
,,,,,,,,1,2022-11-28 15:45:29,
,,,,,,,,1,2022-11-28 15:45:30,
,,,,,,,,1,2022-11-28 15:45:31,
,,,,,,,,1,2022-11-28 15:45:32,
,,,,,,,,1,2022-11-28 15:45:33,
,,,,,,,,1,2022-11-28 15:45:34,
,,,,,,,,1,2022-11-28 15:45:35,
,,,,,,,,1,2022-11-28 15:45:36,
,,,,,,,,1,2022-11-28 15:45:37,
,,,,,,,,1,2022-11-28 15:45:38,
,,,,,,,,1,2022-11-28 15:45:39,
,,,,,,,,1,2022-11-28 15:45:40,
,,,,,,,,1,2022-11-28 15:45:41,
,,,,,,,,1,2022-11-28 15:45:42,
,,,,,,,,1,2022-11-28 15:45:43,
,,,,,,,,1,2022-11-28 15:45:44,
,,,,,,,,1,2022-11-28 15:45:45,
,,,,,,,,1,2022-11-28 15:45:46,
,,,,,,,,1,2022-11-28 15:45:47,
,,,,,,,,1,2022-11-28 15:45:48,
,,,,,,,,1,2022-11-28 15:45:49,
,,,,,,,,1,2022-11-28 15:45:50,
,,,,,,,,1,2022-11-28 15:45:51,
,,,,,,,,1,2022-11-28 15:45:52,
,,,,,,,,1,2022-11-28 15:45:53,
,,,,,,,,1,2022-11-28 15:45:54,
,,,,,,,,1,2022-11-28 15:45:55,
,,,,,,,,1,2022-11-28 15:45:56,
,,,,,,,,1,2022-11-28 15:45:57,
,,,,,,,,1,2022-11-28 15:45:58,
,,,,,,,,1,2022-11-28 15:45:59,
,,,,,,,,1,2022-11-28 15:46:00,
,,,,,,,,1,2022-11-28 15:46:01,
,,,,,,,,1,2022-11-28 15:46:02,
,,,,,,,,1,2022-11-28 15:46:03,
,,,,,,,,1,2022-11-28 15:46:04,
,,,,,,,,1,2022-11-28 15:46:05,
,,,,,,,,1,2022-11-28 15:46:06,
,,,,,,,,1,2022-11-28 15:46:07,
,,,,,,,,1,2022-11-28 15:46:08,
,,,,,,,,1,2022-11-28 15:46:09,
,,,,,,,,1,2022-11-28 15:46:10,
,,,,,,,,1,2022-11-28 15:46:11,
,,,,,,,,1,2022-11-28 15:46:12,
,,,,,,,,1,2022-11-28 15:46:13,
