ManualStartDateTime,ManualEndDateTime,Label
2022-10-31 17:48:36,2022-10-31 17:55:07,P
2022-10-31 17:55:12,2022-10-31 17:58:56,P
2022-10-31 17:58:58,2022-10-31 18:04:49,P
2022-10-31 18:05:01,2022-10-31 18:15:11,P
2022-10-31 18:15:20,2022-10-31 18:21:42,P
2022-10-31 18:21:44,2022-10-31 18:28:28,P
2022-10-31 18:32:35,2022-10-31 18:38:31,P
2022-10-31 18:38:36,2022-10-31 18:49:15,P
2022-10-31 18:49:27,2022-10-31 18:56:02,P
2022-10-31 18:59:37,2022-10-31 19:03:04,P
2022-10-31 19:03:09,2022-10-31 19:06:07,P
2022-10-31 19:06:16,2022-10-31 19:13:16,P
2022-10-31 19:13:24,2022-10-31 19:17:30,P
2022-10-31 19:24:27,2022-10-31 19:34:24,P
2022-10-31 19:34:29,2022-10-31 19:37:48,P
2022-10-31 19:38:49,2022-10-31 19:45:32,P
2022-10-31 19:45:43,2022-10-31 19:51:24,P
2022-10-31 19:51:26,2022-10-31 19:56:17,P
2022-10-31 19:56:23,2022-10-31 20:01:45,P
2022-10-31 20:08:53,2022-10-31 20:12:30,P
2022-10-31 20:12:39,2022-10-31 20:19:10,P
2022-10-31 20:19:18,2022-10-31 20:26:43,P
2022-10-31 20:26:46,2022-10-31 20:30:57,P
2022-10-31 20:31:16,2022-10-31 20:37:10,P
2022-10-31 20:43:02,2022-10-31 20:53:52,P
2022-10-31 20:53:58,2022-10-31 21:04:40,P
2022-10-31 21:08:30,2022-10-31 21:14:45,P
2022-11-01 18:00:01,2022-11-01 18:15:17,P
2022-11-01 18:15:32,2022-11-01 18:30:44,P
2022-11-01 18:31:31,2022-11-01 18:56:43,P
2022-11-02 16:39:08,2022-11-02 17:26:01,P
2022-11-02 17:26:05,2022-11-02 18:09:03,P
2022-11-03 17:45:01,2022-11-03 17:48:56,P
2022-11-03 17:48:58,2022-11-03 18:04:11,P
2022-11-03 18:04:20,2022-11-03 18:09:59,P
2022-11-04 16:43:20,2022-11-04 17:03:00,P
2022-11-04 17:03:10,2022-11-04 17:11:26,P
2022-11-04 17:14:43,2022-11-04 18:40:47,P
2022-11-04 18:40:55,2022-11-04 20:31:59,P
2022-11-07 17:59:45,2022-11-07 18:19:37,P
2022-11-07 19:19:17,2022-11-07 20:06:00,P
2022-11-07 20:14:13,2022-11-07 21:15:59,P
2022-11-07 21:19:39,2022-11-07 22:09:12,P
2022-11-08 18:09:25,2022-11-08 18:29:52,P
2022-11-08 20:26:27,2022-11-08 20:34:57,P
2022-11-08 20:35:04,2022-11-08 20:55:34,P
2022-11-08 20:55:59,2022-11-08 22:15:21,P
2022-11-08 22:15:42,2022-11-08 22:57:15,P
2022-11-08 22:57:17,2022-11-08 23:27:37,P
2022-11-08 23:27:40,2022-11-08 23:55:02,P
2022-11-10 17:49:22,2022-11-10 18:32:34,P
2022-11-10 18:35:10,2022-11-10 19:16:19,P
2022-11-10 19:16:33,2022-11-10 19:52:38,P
2022-11-10 20:30:10,2022-11-10 21:14:43,P
2022-11-10 21:19:05,2022-11-10 21:50:25,P
2022-11-10 21:50:31,2022-11-10 22:05:01,P
2022-11-11 17:43:46,2022-11-11 18:03:22,P
2022-11-11 19:08:09,2022-11-11 19:35:48,P
2022-11-11 19:36:43,2022-11-11 20:08:57,P
2022-11-11 20:09:16,2022-11-11 21:17:55,P
2022-11-11 22:05:05,2022-11-11 22:27:28,P
2022-11-11 22:27:31,2022-11-11 23:07:15,P
2022-11-11 23:09:28,2022-11-11 23:41:59,P
2022-11-11 23:47:00,2022-11-11 23:51:05,P
2022-11-14 17:25:01,2022-11-14 17:59:56,P
2022-11-14 18:01:58,2022-11-14 18:30:02,P
2022-11-14 18:30:52,2022-11-14 18:49:47,P
2022-11-14 18:49:56,2022-11-14 18:52:47,P
2022-11-14 18:52:51,2022-11-14 18:55:46,P
2022-11-14 18:55:54,2022-11-14 18:56:54,P
2022-11-14 19:00:31,2022-11-14 19:02:30,P
2022-11-14 19:06:16,2022-11-14 19:07:23,P
2022-11-14 19:07:26,2022-11-14 19:08:29,P
2022-11-14 19:15:40,2022-11-14 19:17:04,P
2022-11-14 19:26:08,2022-11-14 20:27:20,P
2022-11-14 20:27:42,2022-11-14 21:18:33,P
2022-11-14 21:22:56,2022-11-14 21:33:07,P
2022-11-14 21:38:06,2022-11-14 21:44:18,P
2022-11-14 21:49:10,2022-11-14 21:51:49,P
2022-11-14 21:56:02,2022-11-14 22:07:17,P
2022-11-14 22:12:00,2022-11-14 22:20:10,P
2022-11-14 22:24:59,2022-11-14 22:29:49,P
2022-11-15 16:25:28,2022-11-15 17:50:54,P
2022-11-15 17:52:35,2022-11-15 17:58:45,P
2022-11-15 17:58:48,2022-11-15 18:20:25,P
2022-11-15 18:35:06,2022-11-15 21:07:05,P
2022-11-15 21:10:51,2022-11-15 22:11:39,P
2022-11-16 16:02:01,2022-11-16 17:00:34,P
2022-11-16 17:05:34,2022-11-16 17:37:54,P
2022-11-16 17:41:10,2022-11-16 18:22:06,P
2022-11-16 18:23:26,2022-11-16 18:46:53,P
2022-11-16 18:54:10,2022-11-16 19:21:50,P
2022-11-17 16:35:31,2022-11-17 18:00:02,P
2022-11-17 18:03:21,2022-11-17 18:23:54,P
2022-11-17 18:35:07,2022-11-17 22:02:59,P
2022-11-18 15:00:01,2022-11-18 17:31:48,P
2022-11-18 17:32:16,2022-11-18 17:47:53,P
2022-11-18 17:48:58,2022-11-18 18:29:59,P
2022-11-21 15:35:01,2022-11-21 16:36:59,P
2022-11-21 16:39:41,2022-11-21 17:02:42,P
2022-11-21 17:10:19,2022-11-21 20:22:23,P
2022-11-21 20:34:39,2022-11-21 21:35:26,P
2022-11-21 21:40:14,2022-11-21 21:46:05,P
2022-11-21 21:57:35,2022-11-21 22:05:17,P
2022-11-21 22:15:36,2022-11-21 22:22:06,P
2022-11-22 16:40:51,2022-11-22 17:33:40,P
2022-11-22 17:37:52,2022-11-22 18:24:15,P
2022-11-22 19:05:06,2022-11-22 19:50:51,P
2022-11-22 19:59:54,2022-11-22 20:46:14,P
2022-11-22 20:46:20,2022-11-22 21:04:20,P
2022-11-22 21:09:13,2022-11-22 21:15:08,P
2022-11-22 21:27:13,2022-11-22 22:17:57,P
2022-11-23 16:28:01,2022-11-23 17:58:49,P
2022-11-23 18:17:57,2022-11-23 18:36:24,P
2022-11-23 18:48:01,2022-11-23 20:10:54,P
2022-11-23 20:32:34,2022-11-23 21:15:51,P
2022-11-23 21:27:50,2022-11-23 22:02:03,P
2022-11-28 16:30:01,2022-11-28 16:41:55,P
2022-11-28 16:44:45,2022-11-28 17:06:40,P
2022-11-28 17:10:57,2022-11-28 18:28:08,P
2022-11-28 18:30:58,2022-11-28 18:56:15,P
2022-11-29 17:29:22,2022-11-29 17:50:51,P
2022-11-29 17:53:09,2022-11-29 18:28:06,P
2022-11-30 17:54:49,2022-11-30 18:14:58,P
