ManualStartDateTime,ManualEndDateTime,Label
2022-11-13 00:00:00,2022-11-13 23:59:59,N
2022-11-14 00:00:00,2022-11-14 16:58:14,N
2022-11-14 17:59:57,2022-11-14 18:01:57,N
2022-11-14 19:24:41,2022-11-14 19:26:07,N
2022-11-14 21:18:34,2022-11-14 21:22:55,N
2022-11-14 21:33:08,2022-11-14 21:38:05,N
2022-11-14 21:44:19,2022-11-14 21:49:09,N
2022-11-14 21:51:50,2022-11-14 21:56:01,N
2022-11-14 22:07:18,2022-11-14 22:11:59,N
2022-11-14 22:20:11,2022-11-14 22:24:58,N
2022-11-14 22:29:50,2022-11-14 22:35:01,N
2022-11-14 22:38:19,2022-11-14 23:59:59,N
2022-11-15 00:00:00,2022-11-15 16:16:51,N
2022-11-15 17:50:55,2022-11-15 17:52:34,N
2022-11-15 18:20:26,2022-11-15 18:35:05,N
2022-11-15 21:07:06,2022-11-15 21:10:50,N
2022-11-15 22:15:25,2022-11-15 23:59:59,N
2022-11-16 00:00:00,2022-11-16 16:01:15,N
2022-11-16 17:00:35,2022-11-16 17:05:33,N
2022-11-16 17:37:55,2022-11-16 17:41:09,N
2022-11-16 18:22:07,2022-11-16 18:23:25,N
2022-11-16 18:46:54,2022-11-16 18:54:09,N
2022-11-16 19:21:51,2022-11-16 23:59:59,N
2022-11-17 00:00:00,2022-11-17 16:35:30,N
2022-11-17 18:00:03,2022-11-17 18:03:20,N
2022-11-17 18:23:55,2022-11-17 18:33:49,N
2022-11-17 18:33:54,2022-11-17 18:35:06,N
2022-11-17 22:04:57,2022-11-17 23:59:59,N
2022-11-18 00:00:00,2022-11-18 14:59:12,N
2022-11-18 17:47:54,2022-11-18 17:48:57,N
2022-11-18 18:35:56,2022-11-18 23:59:59,N
2022-11-19 00:00:00,2022-11-19 23:59:59,N
2022-11-20 00:00:00,2022-11-20 23:59:59,N
2022-11-21 00:00:00,2022-11-21 15:19:12,N
2022-11-21 16:37:00,2022-11-21 16:39:40,N
2022-11-21 17:02:43,2022-11-21 17:10:18,N
2022-11-21 20:22:24,2022-11-21 20:34:38,N
2022-11-21 21:35:27,2022-11-21 21:40:13,N
2022-11-21 21:46:06,2022-11-21 21:57:34,N
2022-11-21 22:05:18,2022-11-21 22:15:35,N
2022-11-21 22:37:41,2022-11-21 23:59:59,N
2022-11-22 00:00:00,2022-11-22 16:35:59,N
2022-11-22 17:33:41,2022-11-22 17:37:51,N
2022-11-22 18:24:16,2022-11-22 19:05:05,N
2022-11-22 19:50:52,2022-11-22 19:59:53,N
2022-11-22 21:04:21,2022-11-22 21:09:12,N
2022-11-22 21:15:09,2022-11-22 21:27:12,N
2022-11-22 22:18:39,2022-11-22 23:59:59,N
2022-11-23 00:00:00,2022-11-23 16:18:42,N
2022-11-23 17:58:50,2022-11-23 18:17:56,N
2022-11-23 18:36:25,2022-11-23 18:48:00,N
2022-11-23 20:10:55,2022-11-23 20:32:33,N
2022-11-23 21:15:52,2022-11-23 21:27:49,N
2022-11-23 22:10:22,2022-11-23 23:59:59,N
2022-11-24 00:00:00,2022-11-24 23:59:59,N
2022-11-25 00:00:00,2022-11-25 23:59:59,N
2022-11-26 00:00:00,2022-11-26 23:59:59,N
2022-11-27 00:00:00,2022-11-27 23:59:59,N
2022-11-28 00:00:00,2022-11-28 16:24:18,N
2022-11-28 16:41:56,2022-11-28 16:44:44,N
2022-11-28 17:06:41,2022-11-28 17:10:56,N
2022-11-28 18:28:09,2022-11-28 18:30:57,N
2022-11-28 18:56:16,2022-11-28 23:59:59,N
2022-11-29 00:00:00,2022-11-29 17:25:22,N
2022-11-29 17:50:52,2022-11-29 17:53:08,N
2022-11-29 18:28:07,2022-11-29 23:59:59,N
2022-11-30 00:00:00,2022-11-30 17:54:48,N
2022-11-30 18:14:59,2022-11-30 23:59:59,N
