sensor,Detection Rate (%),Non-Emission Accuracy (%)
Andium,62.55506607929515,87.24832214765101
Canary,94.73684210526315,50.98039215686274
Ecoteco,25.333333333333336,96.93877551020408
Kuva,91.9431279620853,73.63636363636363
Oiler,69.91869918699187,92.85714285714286
Qube,74.72527472527473,76.37795275590551
Sensirion,88.77551020408163,55.00000000000001
