sensor,Detection Rate (%),Non-Emission Accuracy (%)
Andium,62.55506607929515,87.24832214765101
Canary,95.34883720930233,47.27272727272727
Ecoteco,27.27272727272727,94.28571428571428
Kuva,91.9431279620853,73.63636363636363
Oiler,69.91869918699187,92.85714285714286
Qube,72.72727272727273,71.73913043478261
Sensirion,90.5982905982906,51.973684210526315
