sensor,Detection Rate (%),Non-Emission Accuracy (%)
Andium,62.55506607929515,87.24832214765101
Canary,95.0,49.056603773584904
Ecoteco,25.609756097560975,95.14563106796116
Kuva,91.9431279620853,73.63636363636363
Oiler,69.91869918699187,92.85714285714286
Qube,75.0,74.24242424242425
Sensirion,89.7196261682243,54.109589041095894
