Date,true_mean,true_uncertainty,true_plot_min_uncertainty,true_plot_max_uncertainty,reported_mean,reported_uncertainty,report_plot_min_uncertainty,report_plot_max_uncertainty
2022-10-31,285.82726768177673,4.98267704895543,280.8445906328213,290.8099447307322,27.849784070685267,0.0,27.849784070685267,27.849784070685267
2022-11-15,96.35082551434225,3.5215505734503805,92.82927494089186,99.87237608779263,1.801892152940066,0.0,1.801892152940066,1.801892152940066
2022-11-16,92.5524680273468,2.419503984696642,90.13296404265016,94.97197201204345,2.5833798616026256,0.0,2.5833798616026256,2.5833798616026256
2022-11-17,43.505430861429176,0.5607794308485347,42.94465143058064,44.06621029227771,2.9874700594403962,0.0,2.9874700594403962,2.9874700594403962
2022-11-18,279.10968146516956,10.594193868075495,268.5154875970941,289.70387533324504,1.1424945924730932,0.0,1.1424945924730932,1.1424945924730932
2022-11-21,38.83595598744858,0.50514317302952,38.330812814419055,39.3410991604781,5.176480193355448,0.0,5.176480193355448,5.176480193355448
2022-11-22,90.01178179540867,1.134971213288612,88.87681058212006,91.14675300869727,6.779148929736957,0.0,6.779148929736957,6.779148929736957
2022-11-23,31.95644791271813,0.05152759162365339,31.904920321094476,32.007975504341786,6.611673992643394,0.0,6.611673992643394,6.611673992643394
2022-11-28,133.16633171077612,2.162502093150913,131.0038296176252,135.32883380392704,1.6006691395632224,0.0,1.6006691395632224,1.6006691395632224
2022-11-29,715.1781738729002,24.354875606119943,690.8232982667803,739.5330494790201,42.282147179889165,0.0,42.282147179889165,42.282147179889165
