Date,true_mean,true_uncertainty,true_plot_min_uncertainty,true_plot_max_uncertainty,reported_mean,reported_uncertainty,report_plot_min_uncertainty,report_plot_max_uncertainty
2022-10-10,88.62552731547991,0.3569456709463009,88.26858164453361,88.98247298642622,512.8392142327865,0.0,512.8392142327865,512.8392142327865
2022-10-11,79.44296731851357,0.23470928801849614,79.20825803049507,79.67767660653206,100.39124859532991,0.0,100.39124859532991,100.39124859532991
2022-10-12,77.59319419722708,0.2640728893334106,77.32912130789367,77.85726708656048,369.9796907051293,0.0,369.9796907051293,369.9796907051293
2022-10-24,110.59129215956975,1.3151853506865516,109.2761068088832,111.9064775102563,202.83255991573495,0.0,202.83255991573495,202.83255991573495
2022-10-25,278.77097602843907,5.165982461835042,273.60499356660404,283.9369584902741,365.48094753464045,0.0,365.48094753464045,365.48094753464045
2022-10-26,207.26851766913973,5.131698737924208,202.13681893121552,212.40021640706394,105.74891302249227,0.0,105.74891302249227,105.74891302249227
2022-10-27,34.25784338926861,0.36851130695298323,33.889332082315626,34.62635469622159,25.530652794778185,0.0,25.530652794778185,25.530652794778185
2022-10-28,213.0092168912339,3.6279818524347855,209.38123503879913,216.63719874366868,163.40610163594096,0.0,163.40610163594096,163.40610163594096
2022-10-29,385.3118861866701,7.401587544951336,377.9102986417188,392.71347373162143,698.4710505191989,0.0,698.4710505191989,698.4710505191989
2022-10-30,174.17317165804204,2.8977833740359418,171.27538828400608,177.070955032078,27.104708708708948,0.0,27.104708708708948,27.104708708708948
2022-10-31,223.85605820099525,3.3442406606440067,220.51181754035125,227.20029886163925,300.4112880515343,0.0,300.4112880515343,300.4112880515343
2022-11-01,404.4668325533084,7.412983844306448,397.05384870900195,411.87981639761483,134.31187327823037,0.0,134.31187327823037,134.31187327823037
2022-11-02,245.580547285614,4.762866410801548,240.81768087481245,250.34341369641552,74.61413478261238,0.0,74.61413478261238,74.61413478261238
2022-11-03,807.659131072116,25.839012745914836,781.8201183262012,833.4981438180308,70.72937875751445,0.0,70.72937875751445,70.72937875751445
2022-11-04,73.59436330474074,0.418550905328468,73.17581239941227,74.01291421006921,210.5304277817811,0.0,210.5304277817811,210.5304277817811
2022-11-07,21.08608009034602,0.10788862271475991,20.97819146763126,21.19396871306078,37.69238708651398,0.0,37.69238708651398,37.69238708651398
2022-11-14,28.477506299657918,0.07382330665867942,28.40368299299924,28.551329606316596,165.73826306347905,0.0,165.73826306347905,165.73826306347905
2022-11-15,132.3922219861936,5.0175273565545515,127.37469462963904,137.40974934274814,90.20755071849692,0.0,90.20755071849692,90.20755071849692
2022-11-16,78.92548652611218,2.058293204233257,76.86719332187893,80.98377973034543,48.614569812057844,0.0,48.614569812057844,48.614569812057844
2022-11-17,62.75866539501146,0.8669010239264464,61.89176437108502,63.62556641893791,115.05570643882575,0.0,115.05570643882575,115.05570643882575
2022-11-18,235.97052637894788,8.955886347079344,227.01464003186854,244.92641272602722,80.17922046174579,0.0,80.17922046174579,80.17922046174579
2022-11-21,51.855430305513806,0.7136046104971605,51.14182569501665,52.56903491601096,52.09331230746848,0.0,52.09331230746848,52.09331230746848
2022-11-22,73.89617508646873,0.9057860192183395,72.99038906725039,74.80196110568707,149.11772181145864,0.0,149.11772181145864,149.11772181145864
2022-11-23,38.219303038751384,0.062340857043178585,38.1569621817082,38.281643895794566,145.59886939571967,0.0,145.59886939571967,145.59886939571967
2022-11-28,133.16633171077612,2.162502093150913,131.0038296176252,135.32883380392704,80.51229045038328,0.0,80.51229045038328,80.51229045038328
2022-11-29,644.31834065124,21.94179522051712,622.3765454307229,666.260135871757,229.3410073130563,0.0,229.3410073130563,229.3410073130563
