Date,true_mean,true_uncertainty,true_plot_min_uncertainty,true_plot_max_uncertainty,reported_mean,reported_uncertainty,report_plot_min_uncertainty,report_plot_max_uncertainty
2022-10-31,223.85605820099525,3.3442406606440067,220.51181754035125,227.20029886163925,300.4112880515343,0.0,300.4112880515343,300.4112880515343
2022-11-15,132.3922219861936,5.0175273565545515,127.37469462963904,137.40974934274814,90.20755071849692,0.0,90.20755071849692,90.20755071849692
2022-11-16,78.92548652611218,2.058293204233257,76.86719332187893,80.98377973034543,48.614569812057844,0.0,48.614569812057844,48.614569812057844
2022-11-17,62.75866539501146,0.8669010239264464,61.89176437108502,63.62556641893791,115.05570643882575,0.0,115.05570643882575,115.05570643882575
2022-11-18,235.97052637894788,8.955886347079344,227.01464003186854,244.92641272602722,80.17922046174579,0.0,80.17922046174579,80.17922046174579
2022-11-21,51.855430305513806,0.7136046104971605,51.14182569501665,52.56903491601096,52.09331230746848,0.0,52.09331230746848,52.09331230746848
2022-11-22,73.89617508646873,0.9057860192183395,72.99038906725039,74.80196110568707,149.11772181145864,0.0,149.11772181145864,149.11772181145864
2022-11-23,38.219303038751384,0.062340857043178585,38.1569621817082,38.281643895794566,145.59886939571967,0.0,145.59886939571967,145.59886939571967
2022-11-28,133.16633171077612,2.162502093150913,131.0038296176252,135.32883380392704,80.51229045038328,0.0,80.51229045038328,80.51229045038328
2022-11-29,644.31834065124,21.94179522051712,622.3765454307229,666.260135871757,229.3410073130563,0.0,229.3410073130563,229.3410073130563
